,Q,A
0,기계식 키보드 써보고 싶어요.,싼 것도 많던데 써보세요. 정말 좋아요.
1,사실 여러 가지 글씨체가 있긴 한데 요즘 글씨를 안 쓰다 보니까 너무 맛 가버렸어요. 저는 이런 글귀 따라 쓰는 거 좋아하는 사람이에요.,글씨 예쁘네요.
2,목 캔디 얼마죠?,700원이요.
3,수요미식회 민호 실화에요?,다음 주요?
4,여러분! 보험 가입할 때 선물로 뭐 받으면 좋을 거 같아요?,사은품 고르시는 건가요?
5,와와와 이거 방금 홈플에서 발견했어요. 이거 나만 몰랐나요? 대박.,한참 늦으셨어요.
6,6월에 일본 가는 거 2박 3일을 할까 4박 5일을 할까 고민 중이에요. ,화요일에 갔다 목요일에 오면 비행기 값이 12만 원이고 화요일에 가서 토요일에 오면 17만 원이에요. 금요일은 토요일보다 3만 원 더 비싸니까 젖혔어요. 방값은 언제나 가는 거기 가면 하루에 3만 원이에요. 밥값은 집 근처에서 사 먹으나 일본에서 사먹으나 비슷해요. 그새 가격 올랐어요. 허엉
7,줄넘기 가격 얼마 하는지 아는 분 있어요?,"사천 원, 오천 원이에요!"
8,오 수련회 가셨어요? 즐겁게 노세요! ,재밌어요. 애들도 되게 활기차고요. 
9,곰돌이 선풍기 가격 배송비 포함해서 얼마인가요? 주소를 못 찾아서요. ,품절이에요!
10,울고 싶어요.,왜 그래요.
11,무민 우유 사고 싶어요,무민한테서 우유가 나와요?
12,왼쪽 손등 부딪혔는데 피나요. 이번에도 부러졌으면 7번째 부러지는 건데 다행이에요. 휴,어쩌시다 그렇게 여러 번 부러졌나요.
13,그다음은 해외 취업을 목표로 더 노력해야죠.,힘내라 윈드님! 캐릭터 창작까지는 곧 할 수 있을 거로 생각해요.
14,너무 설명 부족했네요. 주말에 단체 핑거팁 추실 분 있을까요?  ,시간 되면 저 가고 싶어요!
15,민호 수요미식회 예고에 나오는 햄버거 한군데 거 먹어본 것 같은 느낌적인 느낌이에요.,얼마 전에 목격담 올라왔었어요. 우리가 간 곳 이태원 말고 청담으로 갔더라고요!
16,오늘 자고 일어나면 입천장 싹 나았으면 좋겠어요. 밥도 못 먹겠어요. 정말.,음식을 편히 못 드시니 기운도 없으실 거 같고 얼른 나으셔야 해요! 
17,흑흑 집에서는 자꾸 무릎이나 정강이 쪽 부딪혀서 멍이 들고 알바하다가는 팔에 멍드네요. 맞고 사는 줄 알겠어요.,저도 지금 여기저기 박고 다녀서 다리 엉망이에요. 이제 여름 되면 여기 모기 물린 자국이 추가되겠죠. 
18,집에서는 자꾸 무릎이나 정강이 쪽 부딪혀서 멍이 들고 알바하다가는 팔에 멍드네요. 맞고 사는 줄 알겠어요.,저는 가끔 저도 모르는 멍이 있어요. 어디에다가 부딪히고 다니는지 모르겠어요. 멍도 잘 드는 피부라 손가락으로 세게 누르기만 해도 가끔 멍이 남을 때가 있더라고요.
19,"아, 후추 너무 신경 쓰여요. 그것보다 후추 열매였군요.",먹는 후추 열매에요!
20,물 마실 때마다 목이 아프다면 병원 가봐야 하는 걸까요?,네. 마음대로 되는 건 아니지만 노력은 해보세요. 병원 잘 다녀오고 아프지 말고요.
21,고기 먹고 싶어요.,함께해요.
22,저 조울인가요?,우울감만 지속적으로 반복되는 것도 양극성 장애의 일종이에요. 정신과에 가셔서 자세히 상담을 받으시길 바라요.
23,누구 저랑 완벽한 일본 먹방 여행 가줄 친구 없나요? 관광지는 빼고 진짜 먹으러만 다니게요.,일본 가시나 봐요. 완전 부럽네요.
24,혹시 얼마인지 알 수 있나요? 그리고 해외로 보낼 수 있나요? ,아직 업체와 연락이 되지 않았기 때문에 가격은 정해지지 않았어요.
25,"식전 약, 식후 약, 약 알레르기 방지용 약이에요.",약 알레르기 방지용이요? 
26,새로 산 귀걸이가 정말 예뻐요.,"우와, 귀걸이 예뻐요!"
27,사탕 가게 아저씨 사탕 주세요.,아저씨라는 호칭도 나쁘지 않네요. 사탕 드실래요? 
28,짜장면이 2천 원이에요.,전체적으로 저렴하네요.
29,저 잘하면 일본 교환학생 갈 수 있겠는데요.,일단 자소서 써야 하는데 선생님이 오늘 알려주고 오늘 다 쓰라네요.
30,여름 선글라스 준비는 마치셨나요? 올해도 다양한 프레임과 아름다운 렌즈가 있어요.,안녕하세요. 와인색 테의 선글라스 완전 시선 강탈이네요. 혹시 가격대가 어느 정도 되는지 알 수 있을까요?
31,저도요. 아휴.A42,다 먹고 살려고 하는 일인데 귀찮아도 끼니는 꼭 챙겨 먹어요. 
32,그 시절 우리가 좋아했던 소녀였나 그거 또 보고 싶네요. 정말 재밌어요.,"아나, 저 그거 보고 분통 터져서 울뻔했어요. "
33,양궁카페 왔어요.,우와! 저도 다음에 한번 가봐야겠어요!
34,놀이공원 가고 싶어요.,저도요.
35,머리 아프고 계속 어지럽고 속 안 좋아서 오늘 그냥 가게에서 밥 안 먹고 바로 집 갈 거라 했는데 밥 먹고 나니까 갑자기 멀쩡해졌어요.  ,퇴근은 만병통치약이에요.
36,누구라도 좋으니까 고기 좀 먹어요.,사주세요.
37,"아, 회사 들어가기 싫어요.",저도 알바하러 돌아가기 싫어요.
38,이거 정말 마음에 들어요.  ,"와, 화장대 디자인이 아주 예쁘네요. 거울도 커서 화장하기 편할 듯해요! "
39,머핀이에요!,저도 머핀 좋아하는데요. 
40,"와, 우리 매장에 죠스바랑 수박바 떠먹는 거 있어요. 뭐죠? ","와, 너희 매장에 맛있는 거 파네요."
41,인터넷 숍이랑 매장들 일판 팩 가격 싹 다 올렸군요.,일산은 매장 몇 시까지 여나요? 
42,여행 가고 싶어요. 바다 보고 싶어요. ,저도요!
43,토요일에 엄마 서울 안 갈 수도 있다는데 어떻게 할래요? 원래대로 토요일 서울에서 만날래요 아니면 그래도 금요일 우리 집으로 올래요?,"그럼 그냥 금요일에 너희 집에서 자고, 서울 가신다 하면 얻어 타고 가고 아니면 그냥 가죠 뭐."
44,"대체 무인양품이라는 건 뭘까요, 가게 이름이겠지요? ",예. 일본브랜드인데요. 일부는 한국에도 들어와요.
45,주문한 하오리 왔어요! 이제 저도 하오리 있어요!  ,아주 예뻐요.
46,미술학원 가면 뭐 배워요? 저도 가고 싶어요. ,구마님 학원 가려고요? 
47,학교 다니면서 알바하는 사람 진짜 힘들겠네요.,그러게요. 나 힘들어요.
48,"오사카 갈 건데 편의점 음식 맛있는 거 쓸어 먹고, 하루종일 먹으면서 다닐 거예요. 간식도 많이 사 올 거예요. ",첫 답글이지만 일본의 편의점은 먹을 게 상당히 많더라고요! 조각 케이크도 팔아서 먹어봤더니 상당히 맛있고요! 근데 도시락 종류 몇몇 개는 살짝 짠 게 있어요.
49,여러분 리샐버거 어디 거예요? 맘스터치 거 아닌가요? 메뉴판에 없길래 발걸음을 쌀국수집으로 옮겼어요. ,맘스터치 맞아요.
50,여러분 리샐버거 어디 거에요? 맘스터치 거 아닌가요? 메뉴판에 없길래 발걸음을 쌀국수집으로 옮겼어요. ,맘스터치 맞아요.
51,커피를 마셨더니 지금 식은땀 나고 세상이 빙빙 돌아요. 왜 매번 까먹고 먹는 걸까요.,카페인이 몸에 안 맞는가 봐요. 커피 외엔 괜찮으세요?
