,Q,A
0,2년동안 나 사랑해줘서 고맙다,2년여의 만남 사랑해 고마워
1,2년사귀다가 헤어젔는데,2년의 시간동안 사랑했는데
2,2년여의 만남,2년 동안 사궜어
3,3개월만에 연락이 왔어,3개월전에 헤어진 전남친이 문자했어
4,3년 사겼어,3년째 연애 중
5,3년 연애 끝에 여친이랑 헤어지고 한달 되었네요.,3년 만난 여자와 헤어진지 한달 되었습니다
6,3년간 만나던 여자친구와 헤어졌어,헤어진지 3년이 지난 지금
7,3박4일 정도 놀러가고 싶다,3박4일 놀러가고 싶다
8,4년 사겼는데도 너무 좋아,4년째 연애하고 있어
9,4년넘은 인연이 끝이났습니다.,4년을 만났어도 인연이 아니었나 보네요.
10,5년 가까이 사귄 그녀와 헤어졌습니다.,5년 만난 여친과 결국 헤어졌습니다
11,5년 만났는데 매일 보고 싶어,5년 만났어
12,5년 연애가 끝났습니다.,5년간 사귀고 헤어졌습니다.
13,5년간 사귀고 이별,5년 연애후 이별
14,5년연애 끝은 정말 멍하고 허무하네.,5년이란 시간이 무색해지네
15,8년 긴 연애의 끝.,8년 사귀고 헤어짐
16,가끔 뭐하는지 궁금해,가끔 궁금해
17,가끔은 혼자인게 좋다,혼자라서 너무 좋아
18,가난한 자의 설움,돈 다 썼어
19,가만 있어도 땀난다,아 땀난다
20,가스불 켜놓고 나온거 같아,가스불 켜고 나갔어
21,가스비 너무 많이 나왔다.,가스비 장난 아님
22,가슴 한편이 꾹꾹하네,가슴이 아프네
23,가족 여행 고고,가족 여행 가기로 했어
24,가족끼리 여행간다.,가족여행 가야지
25,가족들 보고 싶어,엄마 보고 싶어
26,가족들이랑 서먹해졌어,가족들이랑 서먹해
27,가족들이랑 어디 가지?,가족 여행 어디로 가지?
28,가족들이랑 여행 갈거야,가족여행 가려고
29,가족이 누구야?,가족 있어?
30,가족한테 스트레스 풀었어,스트레스를 가족한테 풀어
31,간만에 떨리니까 좋더라,오랜만에 떨려서 좋았는데
32,간만에 쇼핑 중,오랜만에 쇼핑
33,간식 뭐 먹을까,간식 추천
34,간장치킨 시켜야지,치킨 시켜야지
35,갈까 말까 고민 돼,갈까 말까?
36,감 말랭이 먹고 싶다.,감 말랭이 먹어야지
37,감기 같애,감기인거같애
38,감기 걸린 것 같아,감기 기운이 있어
39,감기가 걸릴 거 같아,감기가 오려나
40,감정싸움 그만하고 싶어,자꾸 싸우게 돼
41,감정이 쓰레기통처럼 엉망진창이야,나 감정쓰레기통이었나봐
42,감정컨트롤을 못하겠어,감정컨트롤이 안돼
43,감히 나를 무시하는 애가 있어,나 은근 무시하는 애 있어
44,갑자기 심장이 덜컹.,갑작스러운 이별에 가슴이 무너져
45,갑자기 훅 힘들어져,많이 힘드네
46,강렬한 첫인상 남겨야 하는데,첫인상에서 강렬한 인상 남기기
47,강아지 키우고 싶어,강아지 키울까
48,강아지 키우고 싶은데 역시 안돼겠지,강아지 키울 수 있을까
49,같이 놀러갈 친구가 없어,놀러가고 싶은데 같이 갈 친구가 없어
50,같이 먹었는데 나만 살찐 거 같아,연애하고 나만 살 쪘나봐
51,같이 있으면 힘든데 붙잡고 싶어,나를 힘들게 하는 사람인데 붙잡고 싶어
52,같이 할 수 있는 취미 생활 뭐 있을까,취미생활 같이하는 게 좋다던데
53,개강옷 예쁘게 입어 볼까,개강룩 입어볼까
54,개같이 되버렸어.,개같은 상황
55,개기름 꼈어,오후되면 얼굴에 개기름 껴
56,개념이 없어,개념도 놓고 옴
57,개당황,몰라서 당했어
58,개당황했잖아  갑자기 물어 봐서,갑자기 물어봐서 당황했어
59,개인적인 일도 다 시켜,개인적인 업무까지 다 시켜
60,개졸려,너무 졸려
61,개학하니까 좋다,방학 끝나서 좋아
62,걔 너무 싫다,스트레스 주는 사람이 있어
63,걔는 누굴 닮아서 그런거니?,누굴 닮아서 그런건지
64,걔랑 같은 반 됐으면 좋겠다,좋아하는 애랑 같은 반 됐으면 좋겠다
65,거지 같이 일해 놓고 갔어,일을 거지같이해
66,거지됐어,나 그지임
67,거짓말 하는 썸남 말해?,썸남이 자꾸 거짓말해
68,거짓말 했어,나한테 거짓말 좀 안 했으면
69,거짓말을 하게 돼,거짓말을 나도 모르게 자꾸 해
70,걱정 좀 없이 살고 싶다.,걱정 없이 살고파
71,건강검진 왔어,건강검진하러 옴
72,건강이 최고인 것 같아,건강이 최고
73,건강한 다이어트법,건강하게 다이어트 하는 방법
74,건물주가 짱인데,건물주 되고싶어
75,건조하네,되게 건조하네
76,걸레질도 해야 돼,물걸레질해야지
77,걸어 가고 있는데 깜깜해서 무서워,늦은 시간에 걸어다니니까 무서워
78,겁난다,겁난다
79,게임 같이 하자고 할까?,같이 게임하자고 해도 되나?
80,게임 때문에 시간 다갔어,게임하다 시간 다갔어
81,게임 때문에 폰이 점점 느려지는듯,폰게임 때매 폰 느려지는듯
82,게임 재미있어.,게임하고 싶어
83,게임도 이제 재미없어,게임 지겨워
84,겨울이 가고 봄이 올거야,겨울 지나 봄이야
85,격려가 필요해.,격려 좀 해줘
86,결국 여친이 이별하자네,결국 여친이 헤어지자 하네.
87,결국 이런 운명이라니 슬프다,운명이 슬프다
88,결국 헤어져서 울고 있어,헤어짐 ㅠㅠ
89,결국 헤어졌네,결국 헤어짐이 확실해졌습니다
90,결정 못하겠어.,이제 결정해야 되는데
91,결정은 빠를수록 좋겠지?,결정은 빠르면 빠를 수록 좋겠지?
92,결정을 못 내리겠어. 어떻해,아직 결정 못 내렸어
93,결정적인 물증이 없어,심증은 있는데 물증이 없네
94,결혼 결심한 계기가 있었어?,결혼 결심 이유
95,결혼 고민,결혼식 앞두고 고민이야
96,결혼 날짜 잡아,결혼식 날짜 잡으려고
97,결혼 했어,결혼 했는데.
98,결혼도 다 돈이다.,결혼준비 돈 많이 들겠지
99,결혼생활에 회의감이 들어,결혼한게 후회돼
100,결혼식 또 가야돼,결혼식 가기 귀찮아
101,결혼전제로 만나고 있어,결혼할 사이로 사귀는 사람 있어
102,결혼준비하면서 과연 행복할까 고민돼,결혼해도 되는 건지 모르겠어
103,결혼하고 나서 애 낳기 싫어졌어,결혼하고 애 낳는거 너무 힘들거 같아
104,결혼하는데 돈 얼마나 들까,결혼준비하는데 돈 얼마나 드나
105,결혼하는데 돈이 엄청 드네,결혼하는데 보통 얼마 들어?
106,결혼하는데 준비할 게 많네,결혼하는데 왜 이렇게 할 게 많아
107,결혼하니까 이렇게 행복해도 될까 싶어,결혼한지 반년인데 이렇게 행복해도 될까 싶어
108,결혼하면 다 끝일 줄 알았는데,결혼하면 끝일 줄 알았는데
109,결혼하면 안 좋은 점?,결혼하면 나쁜 점
110,결혼하면 행복할까?,결혼하면 좋을까
111,결혼하면 행복해질까?,결혼하면 행복해?
112,결혼하면좋을까,결혼하면 좋은 점 말해줘
113,결혼하자고 말할까?,같이 살까?
114,결혼할까,결혼해도 되나
115,결혼해도 될까,내가 그사람이랑 진짜 결혼해도 될까
116,결혼해야 하나,결혼하면 좋아?
117,계속 도전하는 거 귀찮아,도전하기 싫다
118,계속 방학이면 좋을텐데,방학 안 끝났으면 좋겠다
119,계속 보고 싶어,계속 보고 싶으면 어떡해?
120,계속 속이 진짜 안 좋아,요즘 속이 안 좋아
121,계속 엇갈리는 느낌,우리 계속 엇갈림
122,계속 한숨만 나와,왜 계속 한숨 나오지?
123,고3은 공부만 해야겠지.,고3은 공부해야겠지
124,고구마만 먹고 다이어트 해야지,고구마 다이어트 해야지
125,고기 구워 먹고 싶다.,고기 먹고 싶어
126,고데기 했는데 망했어,고데기 망했어
127,고민 있어,고민 좀 들어줄래
128,고민이 많은데 표현을 못하겠어,고민을 어떻게 표현하지
129,고백 받으면 기분 어떨까?,고백 받고 싶어
130,고백 언제 하지,고백
131,고백 좀 하지,고백
132,고백도 못하겠어,고백 어떻게 해
133,고백은 어떻게 하는거야,고백 하는 방법 좀 알려줘
134,고백조차 못해보고 끝났어,고백도 안했는데 싫어하는 것 같아
135,고백하고 싶어,고백 하려는데 기회를 못잡겠어
136,고백하고 어색해지면 어떡하지?,고백했다 차이면 어쩌지?
137,고백한 애가 연락이 느려.,고백한 애가 톡이 느려.
138,고백한 애가 톡이 안와.,고백했는데 답이 안 와
139,고백할 타이밍인 거 같아,고백 타이밍인데
140,고백합니다,저 오늘 고백할 겁니다.
141,고백해도 될까?,고백할까
142,고백했는데 답장이 없어.,내가 먼저 고백했는데 아직 답이 없어
143,고시원 답답해,고시원 너무 답답해
144,고시원에서 나가고 싶어,고시원에서 탈출하고 싶어
145,고의는 아닌데 실수를 한 거 같아,친구한테 실수한 거 같아
146,고집하고는,고집 센 사람
