,Q,A
0,고백했다 차이면 어쩌지?,진심으로 고백하면 좋은 결과가 있을 거예요.
1,술먹고 병신짓거리 했네여,술이 웬수예요.
2,오싹한 이야기 해줄까,해주세요.
3,나만 빼고 행복해보여,다른 사람도 그 사람만의 고민과 걱정이 많을거예요.
4,이상하게 놓치고 싶지 않는 사람이 있어,어쩌면 운명인가봅니다.
5,대학 가면 좋겠지,행복은 마음 가짐에 있어요.
6,제2외국어 뭐 선택할까,요즘은 잘 안 배우는 언어도 좋은 거 같아요.
7,짝녀 알바 그만둬서 못나는데 연락처 물어보면 싫어할까.,그래도 마지막이니 물어보는게 좋겠어요.
8,여자친구가 순진한척해,귀엽게 봐주세요.
9,술 좀 그만 마셔야지,술은 적당히 즐기세요.
10,아침 안 먹는데 자꾸 먹으라고 그래,챙겨주고 싶나봐요.
11,어제 정말로 완전히 보냈습니다,그동안 힘들었죠.
12,슬픈게 솔직하면 안되는건가?,솔직해서 상대에게 피해를 주는 게 아니라면 솔직해도 돼요.
13,꽃다발 말려봐야지,거꾸로 해서 드라이플라워 만들어보세요.
14,자기 복제가 될까,기술이 발전하면 가능하겠죠.
15,천사같은 여자친구가 떠나갔어 마음이 너무 아픕니다.,어떤 실수를 했던 걸까요. 마음이 아프네요.
16,스키 배워보고 싶다.,배우면 금방 배우실 거예요.
17,누군가를 좋아하는게 두려워.,좋아하는 감정을 느낀다는 자체가 참 행복한 거예요.
18,남자친구한테 아무리 말해도 자기 말만해,대화를 할 수 없겠네요. 부드럽게 요구해보세요.
19,잊어야 할것들이 너무 많아,함께 했던 시간 만큼 잊어야하는 것도 많을 거예요.
20,이력서 쓰는 중,나를 포장하는게 쉽지 않죠.
21,결국 이렇게 될 꺼면서.,시작할 때는 그 끝을 알지 못하죠.
22,전남친 보고 싶어,세상은 넓고 사람은 많아요.
23,매일 아침 정류장에서 마주치는 여자애한테 눈이 가.,내일도 만난다면 말을 걸어보세요.
24,또 전화 안받아,조금 기다리면 풀릴 거예요
25,오늘은 나쁜 남자가 되기 위해 결심을 하고 있습니다.,모두를 위한 결심인지 확인해보세요.
26,친구랑 잘 노는 방법,잘하는 건 칭찬해주고 본받을 점은 본받으면서 그대로 사랑해주세요.
27,받아들이기가 많이 힘드네,이해하기 힘드니까요.
28,썸말고 사귀고 싶어,서로 마음이 확실히 있는 거면 적극적으로 표현해도 될 것 같아요.
29,왼손잡이가 뭐 어때서,절대 아니죠.
30,나 혼자 여행 왔는데 괜찮네,온전히 느낄 수 있는 시간이겠네요.
31,싫은 건 아닌데,딱히 좋지도 않나봐요.
32,어제와 오늘 문득문득 생각에 눈물을 흘립니다.,눈물 닦아주고 싶네요.
33,좋아하는 사람이 있는데 사귀는 건 싫어.,책임을 지기 싫은 건지 생각해보세요.
34,이젠 정말끝이겟죠?,새로운 삶은 시작하세요.
