,Q,A
0,우와 진짜 예뻐요.,불 끄면 더 예뻐요.
1,나 노트필기 진짜 못해요. 맨날 하다가 포기해요.,저도 쓰다 보면 너무 구려서 포기하게 돼요. 그리고 공부도 포기하고요.
2,그러셨군요. 가격은 3만 원 정도면 되는군요. 알려주셔서 감사해요,정확한 게 아니라. 큰 봉지 여러 개 든 거로 6봉지 가져갔었어요.
3,네! 다들 자리에서 바쁘네요. 그렇지만 같이 밥도 먹고 글도 남기기도 하고 좋아요 누르고 그런 거 보면 개인적이지만 함께 하는 거 같아요. 그래서 이번 구 파티가 기대돼요! ,좋겠네요 그 파티도 가고 대체 얼마 만이에요…. 부럽네요. 누나 자리 구해서 너무 다행이에요 두근두근하게 기다려봐요.
4,무민 하마 아니에요.,그럼 뭐예요?
5,소주 딸 때 한 번 거꾸로 휙휙 흔들잖아요. 그거 할 때 뻐근해요. 그냥 왼쪽 손바닥이 위로 가게 하는 게 힘들어요.,하긴 한 번만 부러져도 그런데 여섯 번이나 그러셨으니까요. 지금까지 많이 다치셨으니 더는 다치지 마세요. 
6,노력하면 다 이루어진다지만 지금의 나에게는 허무맹랑한 이야기로 생각되는 거뿐이에요.,음... 꼭 그렇지는 않다고 생각하는걸요? 나도 못하지만요.
7,요일은 상관없으신가요? ,네! 토요일 일요일 다 될 거 같아요. 점심때는 제약도 없을 것 같아요.
8,"아니, 그거 씨앗이었어요? 그 동그란 걸 통후추라고 부른다는 건 알고 있었는데 오늘도 하나 배우고 가요.",귀여워요.
9,"이게 원인이 있는 우울감이 아닐까 생각이 들기도 하고, 가서 어떻게 얘기를 꺼내야 할지도 모르겠고 병 없는데 괜히 갔다가 민망할 것 같고 다들 이 정도는 우울감은 있지 않을까 싶기도 하고 이것저것 고민하다가 안 가게 돼요.","갔다가 아니면 좋은 거고 맞으면 치료하는 거죠. 얘기는 일단 증상 위주로 하셔도 좋아요. 우울하다, 잠을 못 잔다, 식욕이 떨어진다, 폭식을 한다, 계속 운다, 기억하기가 힘들다, 말하기가 힘들다, 쓰기가 힘들다, 무기력하다 등등이요. "
10,가격 떨어졌다더니 진짜 싸네요. 저도 너무나 가고 싶어요.,그렇죠. 엔화도 떨어져서 가기 딱 좋은데 갈 수가 없네요.
11,많이 안 아파요! 근데 약이 많아요.,약 많은 거 싫어요. 전 알약 못 먹어서 가루약으로 먹어요.
12,맞아요. 좀 답답하기도 했고요.,오늘 집 오면 영화 몰아볼 거예요. 그 시절이랑 코러스랑 어거스트 러쉬 프랭크요.   
13,제가 갔을 땐 3만 원대였던 걸로 기억하는데 이젠 할인 안 한 가격은 6만 원대인 거 같은데요? 다들 할인받아 가는 거 같지만요.,"어딘데요, 에버랜드?"
14,이제는 괜찮아요. 집에 가서 진짜 죽은 듯이 누워있을 거예요!,푹 쉬세요.
15,아니요.,사줘요.
16,반팔 선택은 성공했어요. 낼모레 리올님 보네요! ,렌님은 반팔 입으셨나 보군요! 드디어 낼모레 보는 거예요. 근데 저 그 날까지 집 정리할 시간이 없을 것 같아요. 너무나 피곤해요.
17,저도 너무 드리고 싶어요. 다음에 만날 일 있으면 제가 꼭 머핀 만들어갈게요. ,말만이라도 감사해요.
18,안 열어봐서 몰라요. 산 건 아니라서요.,이렇게 생겼대요.
19,저도 캠핑요!,지금이 딱 좋은 마지막 계절이에요. 좀 더 지나면 벌레들이 많아요.
20,오고 싶을 때 오세요. 언제 올지 알려주는 거 잊지 마시고요. 시내 나가서 뭐 하죠? 화장품 가게 순회할까요? 1시쯤 만나서 점심 먹을까요? ,1시 너무 일러요. 2시에 만나서 점심 먼저 먹어요. 캡스톤 노동자는 금요일에 일찍 일어날 수 없어요.
21,그렇군요. 배송 되는 거면 위치는 상관없을까 싶은데 합정에도 있다 하고 꽤 있나 봐요. 제가 뭔가 살 건 없어 보이긴 하는데 항상 타임라인에 돌아다니니까 뭔가 했어요! 알려주셔서 감사해요!,배송은 제가 이용해보지 않아서 모르겠어요. 놀러 가면 시간 잘 가요. 친구를 거기서 기다리게 돼요.
22,다 해서 2만 원 정도 될걸요? ,역시 가격이 싸군요.
23,"우와, 감사해요. 저는 애니로 가고 싶어요.",애니는 모르겠네요. 그래도 구마님 충분히 잘하실 수 있을 것 같아요! 손 그림 많이 그리시니까요!
24,학교 다니고 있었냐고요.,그런 거 왜 다니냐요?
25,예포님 혹시 맥도날드 리코타 치즈 상하이 버거도 먹어보셨어요?,아니요? 처음 들어봤어요. 
26,처음 들어보는데 정말 신기해요! 검색해서 사서 먹어봐야겠어요. 좋은 정보 고마워요.,우유에 타 먹으면 고소한 게 커피 우유 맛 나요!
27,네! 카톡할게요!,네!
28,집에 있는 거였으면 좋겠어요.,그러니까요.
29,한번 해 먹어볼게요!,김 가루와 참기름 한 방울 참깨 톡톡 뿌리는 것도 잊지 마세요.
30,왜 배가 아파요?,전 장이 좀 약해요.
31,"후련하다가 맞을 것 같은데요. 여기에서 못 푼 한 풀려고 온 거 아니에요? 나는 후련하다고 느끼 거든요. 여기서 즐겁게 대화도 하고, 웃기도 하고, 이런 거 못 해 봤는데 해 보니까 뭐 재밌더라고요. 이제 못 한다는 게 조금 아쉽기도 하고요. ",그게 한이었어요? 재미있게 웃고 사람들이랑 놀고 하는 게요? 너도 빡빡하게 살았나 보네요.
32,저 근데 소금 곱창 너무 먹고 싶어요.,저랑도 먹으러 가주세요.
33,아 네.,왜요?
34,주꾸미 맛있어요. 쫄깃쫄깃해요.,맞아요.
35,마지막 계란이라서 껍질만 뺐어요.,어쩔 수 없네요. 그럼 소금 간 살짝 하고 구워요. 노른자에 한번 톡 흰자에 한번 톡 뿌리세요.
36,모르겠어요. 어디 갔어요? 저는 찾아본 곳이 인원 늘어날수록 비싸지던데요. 아니면 한 2천 원 싸다든지요.,난 셜록홈즈랑 이스케이프 갔어요. 다 인원 많아지면 가격 낮아지던데요. 
37,거길 어떻게 가요. 저 못 가요. 그렇지만 가고 싶어요. 저도 얼른 취직하면 소고기 같이 먹을 수 있을 거 같은데 아직 멀었어요. 그래도 같이 먹을 수 있으면 좋겠어요. 돈 많이 벌어서 같이 먹어요. ,저도 사실 교수님이 에프 주시면 졸업 못 해요. 먼저 여유 있어지는 사람이 사주고 또 취직하면 반대로 사주고 하면 되죠! 나도 사빈님이랑 고기 먹고 싶어요! 우리 꼭 같이 먹어요!
38,고마워요!,많이 힘드신가 보네요.
39,고마워요. 방금 소시지 좀 먹었는데 살 거 같아요.,다행이에요! 여하튼 까맛님 아프지 마세요. 
40,토하고 바로 쓰러지듯 잠드셨어요. 편의점에서 꿀물이라도 사올 까봐요.,이 시간에요? 정 안되면 설탕물이라도 괜찮지 않을까요.
41,계명대 다니시는군요! 저는 그 옆 전문대 다니다가 영영 탈주했어요.,네. 계명대 미대에 다녀요. 대명 캠퍼스는 미대뿐이라 학과 수가 적어서 교양 수업 수도 적어요. 그래서 졸업 기준 챙긴다고 이번 학기는 성서 본 캠에서 교양이랑 타전공 듣는데 죽을 맛이에요. 나중에 오신다면 캠퍼스 소개 다 해드릴게요. 
42,빨리 집 가세요!,어제 택시 타고 겨우 집 갔어요.
43,따뜻한 물 들어붓고 있어요.,뜨거운 물 부으면 안 돼요?
44,저는 맥도날드 가면 반드시 싼 걸 많이 사요. 100엔짜리요.,"햄버거가 100엔이에요? 남조선은 가장 싼 단품이 2,000원 정도에요."
45,아 생각해보니 오늘이네요. 토요일에 갈지도 모르지만요!,오늘은 무리고요. 토요일이라면 사전 노래방 만남 하고 싶어요!
46,감사해요. 저 사진보다 더러운데 괜찮겠죠.,네! 돈을 조금 더 내시더라도 충분히 가치가 있는 일이에요. 꼭 해보시길 바라요! 
47,실습에 찌들어서 그랬던 걸까요. 대신 이제 이틀 쉴 수 있어요!,휴일 푹 쉬고 재미있게 보내세요!
48,더운데 즐거운 체육대회 보내세요!,고마워요!
49,근데 문제는 맞고 나면 며칠 동안 아파요.,음 그냥 님이 맞는 거로 해요.
50,저도 쉬고 싶어요.,바다에서 둥둥 떠있는 거 재밌어요.
51,파격적이게 해볼까요?,해고당하는 거 아니에요!
52,그렇군요. 나도 우쿨렐레나 배울까요.,좋을 거 같아요! 그렇게 부담스러운 가격도 아니고요.
53,진짜 다행이에요. 저 오늘 너무너무 행복해요. 토모 아크키도 두 개나 나왔고 품절나서 못 구했던 제가 제일 좋아하는 물품도 구했어요. ,제일 좋아하는 것과 함께하시는 행복한 날 되셔서 너무나 다행이에요.
54,만두님 편히 푹 쉬세요! 만두님도 꼭 아프지 말고요.,네. 아까 피 멈춰서 집에 와서 쉬고 있어요! 
55,병원을 왜 우리 동네로 와요?,우리 동네 병원은 이상하게 약이 안 받아요.
56,비행기 한 시간만 타면 되니까요! 바다도 보고 따뜻한 날씨도 즐기고 올 수 있으면 좋겠어요.,맛있는 것도 많이 드시고요.
57,네. 주말엔 정말 집에 있고 싶은 마음이에요. 푹 쉴 거예요. 러컬님 잠은 잘 자셨는지 모르겠네요.,밤에는 잠이 잘 안 와서 몇 시간 못 잤는데 오늘은 낮잠을 실컷 자서 좀 살 것 같아요. 반달님도 꿀잠 주무셔야 할 텐데 말이에요.
58,그러고 싶긴 해요.,지금 걸어봐요!
59,"잘 안 물려서 별 신경을 안 썼지만, 올해 좀 많이 보이는 것 같으니 미리 모기퇴치제를 사야겠어요. ",저는 가게에 블랙홀 설치했는데 잡으라는 모기는 안 잡히고 파리랑 나방만 잔뜩 이네요. 산 쪽이라 완전 모기 천국인데 죽겠어요.
60,"그렇군요. 아, 나도 밥 먹고 싶어요.",고생하네요. 괜찮아요?
61,저는 괜찮은데 다른 사람이 걱정이라서요. 실라언니는 왜 아직 안 자고 있어요. 괜찮아요? ,저 자다가 깼는데 잠이 다 깨버렸어요.
62,네. 그러려고요. 오늘 촬영하러 선유도 갈 예정이에요.,아픈데 어떻게 가요.
63,그냥 놀러가요.,가족들이랑요? 잘 놀고 오세요.
64,감사해요. 이 견적으로면 고사양게임들 상옵으로 해도 무리 없이 잘 돌아가는 거죠? ,네. 몽땅 다 가능해요.
65,혼내는 건 아니고요! 제가 빨리 일어나는 걸 기다리는 사람들이 있거든요! ,정말요? 누가요? 대단해요! 기다리는 사람이 있군요! 
66,왜요? 바쁜 일 있었어요? ,아침 겸 점심 먹으려고 일어났는데 갑자기 일이 생겨서 끌려갔었거든요. 2시간동안 젤리 먹으면서 연명하니까 입맛이 없네요.
67,네.,드셨나요!
68,"왼쪽 거는 1,300원 오른쪽은 1,700원 일 거예요.",가격도 괜찮네요.
69,요즘 과자는 봉지 안에 절반도 안 들어있으니깐 다 먹는 게 정상이에요. 그럴 거예요.,네. 그렇겠지요.
70,글쎄요. 이 직종은 사계절 내내 바빠서 말이에요. ,요즘 들어서 더 많이 바빠지신 거 같아요.
71,월요일에 바로 병원 가봐야겠어요.,네. 조심하세요. 이게 무슨 일이에요. 손가락에 무리 안 가게 하세요. 혹시 모르니까요.
72,아니요. 보시면 으잉 하실 거예요. 달라진 게 없어서요.,아무래도 뿌리염색 정도로만 염색하시면 달라진 게 별로 없게 보일 수도 있겠네요. 그래도 뿌리염색은 안 하면 보기 싫으니까 어쩔 수 없지만 미용실 갈 때마다 가격 때문에 조금 아니 많이 흠칫해요.
73,에이미의 빵 굽는 가게는 보셨어요? ,그건 워낙 레전드라서요. 둘 다 미쳤어요.
74,"아, 예약하는 게 좋겠네요. 고마워요. 오레노 오랜만에 가고 싶어요. ",네! 좋아요! 디저트도 싸고 괜찮아요. 
75,맞아요! 안 찍어 먹어도 맛있어요! ,그냥 물만두는 최고예요. 근데 가격에 비해 양이 적어요.
76,어째서 없을까요? 그 와중에 호드도 품절됐네요.,멀록 인형 나중에 나 블리자드 기어 주문할 때 알려줄게요. 그 때 사세요.
77,난 그날 우체국도 가고 그래야해요. 피시방은 기본이지요. ,"아, 바쁘네요. 마지막 콘서트는 가세요? "
78,난 그날 우체국도 가고 그래야해요. 피방은 기본이지요. ,아 바쁘네요. 마지막 콘서트는 가세요? 
